 time            i(v_i_out)      i(v_i_amp)      v(dac_out)      v(q1)          
 1.96280000e-09  2.03905385e-09  7.52531931e-11  2.63191473e-01  2.34530510e-02 
 1.97280000e-09  2.03905181e-09 -2.93568672e-11  2.63191473e-01  2.36797190e-02 
 1.98280000e-09  2.03905595e-09  7.57611244e-11  2.63191473e-01  2.39054566e-02 
 1.99280000e-09  2.03904982e-09 -2.99703974e-11  2.63191473e-01  2.41322088e-02 
 2.00280000e-09  2.03905515e-09  7.62674175e-11  2.63191473e-01  2.43579815e-02 
 2.01280000e-09  2.03905121e-09 -3.05751651e-11  2.63191473e-01  2.45847098e-02 
 2.02280000e-09  2.03904851e-09  7.67660773e-11  2.63191473e-01  2.48104133e-02 
 2.03280000e-09  2.03905162e-09 -3.11721919e-11  2.63191473e-01  2.50370169e-02 
 2.04280000e-09  2.03904922e-09  7.72574733e-11  2.63191473e-01  2.52625533e-02 
 2.05280000e-09  2.03905815e-09 -3.17636450e-11  2.63191473e-01  2.54889371e-02 
 2.06280000e-09  2.03905574e-09  7.77424009e-11  2.63191473e-01  2.57142141e-02 
 2.07280000e-09  2.03905167e-09 -3.23433107e-11  2.63191473e-01  2.59402883e-02 
 2.08280000e-09  2.03905173e-09  7.82234223e-11  2.63191473e-01  2.61652180e-02 
 2.09280000e-09  2.03904946e-09 -3.29166700e-11  2.63191473e-01  2.63908969e-02 
 2.10280000e-09  2.03905751e-09  7.86980098e-11  2.63191473e-01  2.66153958e-02 
 2.11280000e-09  2.03905282e-09 -3.34829575e-11  2.63191473e-01  2.68405975e-02 
 2.12280000e-09  2.03905706e-09  7.91630194e-11  2.63191473e-01  2.70645852e-02 
 2.13280000e-09  2.03905361e-09 -3.40427142e-11  2.63191473e-01  2.72892311e-02 
 2.14280000e-09  2.03904100e-09  7.96238070e-11  2.63191473e-01  2.75126302e-02 
 2.15280000e-09  2.03905206e-09 -3.45918517e-11  2.63191473e-01  2.77366444e-02 
 2.16280000e-09  2.03906170e-09  8.00807061e-11  2.63191473e-01  2.79593804e-02 
 2.17280000e-09  2.03903992e-09 -3.51348784e-11  2.63191473e-01  2.81826894e-02 
 2.18280000e-09  2.03905583e-09  8.05280210e-11  2.63191473e-01  2.84046900e-02 
 2.19280000e-09  2.03904437e-09 -3.56706632e-11  2.63191473e-01  2.86272227e-02 
 2.20280000e-09  2.03905195e-09  8.09701842e-11  2.63191473e-01  2.88484178e-02 
 2.21280000e-09  2.03904032e-09 -3.61994097e-11  2.63191473e-01  2.90701051e-02 
 2.22280000e-09  2.03905449e-09  8.14071451e-11  2.63191473e-01  2.92904264e-02 
 2.23280000e-09  2.03905552e-09 -3.67213127e-11  2.63191473e-01  2.95112011e-02 
 2.24280000e-09  2.03905206e-09  8.18398424e-11  2.63191473e-01  2.97305823e-02 
 2.25280000e-09  2.03905799e-09 -3.72340081e-11  2.63191473e-01  2.99503789e-02 
 2.26280000e-09  2.03904596e-09  8.22620736e-11  2.63191473e-01  3.01687554e-02 
